country_name,year,recycling_rate,recycling_rate_glass,recycling_rate_metallic,recycling_rate_packaging,recycling_rate_paper,recycling_rate_plastic,recycling_rate_wooden,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,total_environm_tax_per_capita,pollut_environm_tax_per_capita,gr_val_add_per_capita,priv_inv_per_capita
Poland,2003,2.8,,,,,,,7915.55424389704,61.7281374379602,24.87,7.3,52130000.0,38204570.0,15.3918642448656,0.50964617729187,73.6788126819187,5027.46481853972,126.09695646358537,8.965681330793672,,
Poland,2004,4.9,,,,,,,8323.38773754587,61.6555172559989,32.53,7.3,61918000.0,38182222.0,16.5919693942106,0.439104020595551,75.229380584443,5230.57290575662,147.56134412502237,10.182749448159408,,
Poland,2005,5.6,,,,,,,8598.57681241557,61.5497010774856,38.81,7.2,64606000.0,38165445.0,16.3645570843648,0.446039795875549,76.454425667489,5318.32404261366,173.0824833825467,9.098544507996698,119.66321891438709,26.0445017737904
Poland,2006,6.9,,,,,,,9137.65850849801,61.4199688499096,44.58,7.2,65115000.0,38141267.0,16.532432747176,0.332138866186142,77.4255277991736,5580.93992813092,191.65566786231827,14.327526141174072,127.73566226837718,30.413252921042186
Poland,2007,7.7,,,,,,,9760.7042604352,61.2756005207604,48.6,7.3,66208000.0,38120560.0,16.6327568667345,0.358851343393326,78.0281782594488,5876.10947036931,225.98251442266326,16.79172603970141,138.35053839712742,36.20093723701855
Poland,2008,10.5,,,,,,,10187.2017910883,61.1258760375274,53.13,8.0,59935000.0,38125759.0,16.5077389592063,0.462065756320953,78.8399963378906,6286.8760725674,267.9508623028331,21.568095208281623,193.38631396164467,65.62492303431914
Poland,2009,13.2,,,,,,,10446.5289138524,60.9800753477,58.97,8.8,53840000.0,38151603.0,16.6765529453841,0.517221808433533,79.9100036621094,6471.54948471343,221.44705164813124,18.757796363104323,148.90593194734177,50.928397425397826
Poland,2010,16.3,,,,,,,10808.3975674238,60.8474783987677,62.32,9.5,58340000.0,38042794.0,16.1698747962404,0.630121886730194,80.8199996948242,6746.27756430236,258.4202937355232,20.971382911570586,170.860215997805,57.54046351064541
Poland,2011,11.4,,,,,,,11370.313427173,60.7357090652544,61.95,10.4,60745000.0,38063255.0,16.1389060287032,0.596360862255096,81.5500030517578,6930.80696386394,262.77784177942743,21.218626730688165,188.6859124370735,56.53746638326123
Poland,2012,12.0,51.2,46.9,41.4,53.1,22.2,28.5,11542.2353368014,60.6341632788866,62.31,10.9,67390000.0,38063164.0,16.5564693800308,0.657871425151825,82.0899963378906,6987.81580783381,264.1777231130865,18.068387588588273,187.89819994995688,48.156795373080385
Poland,2013,15.1,43.6,34.5,36.1,50.0,20.0,21.9,11628.2286809525,60.5333187465323,62.8492,11.4,72310000.0,38040196.0,15.5581865074907,0.659244894981384,82.8499984741211,6970.98780474619,249.82205664765766,8.930816234490484,196.97585154398257,50.39406211261372
Poland,2014,26.5,60.2,52.9,55.4,72.8,28.6,48.6,12093.1622787394,60.4340063344328,66.5987,11.6,73750000.0,38011735.0,16.9081122802504,0.768983721733093,83.4899978637695,7197.70253652576,277.8641911504434,16.44728923844176,201.0694855154599,66.76885440772435
Poland,2015,32.5,57.2,62.0,57.6,77.6,31.6,50.5,12637.5220324406,60.3362886805635,67.997,11.9,77743000.0,37986412.0,17.6693391336256,0.74108874797821,84.8600006103516,7484.62634515901,300.1531179096357,19.089194315061924,210.4699964818999,78.73868161067699
