country_name,year,gdp_per_capita,urban_population_pct,internet_users_pct,renewable_energy_pct,tourism_arrivals,population_total,manufacturing_value_added_pct_gdp,government_effectiveness_estimate,highschool_completed_pct,household_exp_percapita,gdp_per_capita_filled,urban_population_pct_filled,internet_users_pct_filled,renewable_energy_pct_filled,tourism_arrivals_filled,population_total_filled,manufacturing_value_added_pct_gdp_filled,government_effectiveness_estimate_filled,highschool_completed_pct_filled,household_exp_percapita_filled
Germany,2006,37459.261328042,80.1960996098884,72.16,8.6,23569000.0,82376451.0,20.3388454277918,1.64597606658936,77.8499984741211,20057.1910906907,37459.261328042,80.1960996098884,72.16,8.6,23569000.0,82376451.0,20.3388454277918,1.64597606658936,77.8499984741211,20057.1910906907
Greece,2006,23220.5324419197,74.717750055608,32.25,8.5,17284000.0,11020362.0,9.12922804657747,0.629231572151184,52.9000015258789,15077.7159232041,23220.5324419197,74.717750055608,32.25,8.5,17284000.0,11020362.0,9.12922804657747,0.629231572151184,52.9000015258789,15077.7159232041
Hungary,2006,11734.4544729813,67.0155868530273,47.06,7.9,38318000.0,10071370.0,19.7082355529978,0.839411973953247,71.1935433890503,6338.33663147708,11734.4544729813,67.0155868530273,47.06,7.9,38318000.0,10071370.0,19.7082355529978,0.839411973953247,71.1935433890503,6338.33663147708
Iceland,2006,52306.1284689188,92.1949009038813,89.51,64.2,477000.0,303782.0,8.95940056383941,1.89015877246857,,29198.3055253475,52306.1284689188,92.1949009038813,89.51,64.2,477000.0,303782.0,8.95940056383941,1.89015877246857,61.215638185032,29198.3055253475
Ireland,2006,51656.8194855887,60.7703677431593,54.82,3.2,8001000.0,4273591.0,18.5730585062774,1.53167414665222,66.2200012207031,21243.7864917865,51656.8194855887,60.7703677431593,54.82,3.2,8001000.0,4273591.0,18.5730585062774,1.53167414665222,66.2200012207031,21243.7864917865
Italy,2006,33873.0493680093,67.6812550714834,37.99,7.5,66353000.0,58399861.0,15.572836404605,0.35609769821167,41.4099998474121,20017.4004543997,33873.0493680093,67.6812550714834,37.99,7.5,66353000.0,58399861.0,15.572836404605,0.35609769821167,41.4099998474121,20017.4004543997
Latvia,2006,11507.4648265658,67.873733661714,53.63,34.0,4649000.0,2218357.0,11.1445812153528,0.654658257961273,86.0199966430664,7230.6392067347,11507.4648265658,67.873733661714,53.63,34.0,4649000.0,2218357.0,11.1445812153528,0.654658257961273,86.0199966430664,7230.6392067347
Lithuania,2006,10577.2145522871,66.6381530761719,43.9,17.5,,3269909.0,17.7017452878578,0.716516494750977,75.8600006103516,6997.05818040624,10577.2145522871,66.6381530761719,43.9,17.5,4097000.0,3269909.0,17.7017452878578,0.716516494750977,75.8600006103516,6997.05818040624
Luxembourg,2006,105614.178851764,86.7738936810355,72.51,2.1,908000.0,472637.0,7.0818897239199,1.56682622432709,60.4663559578401,33507.6569145576,105614.178851764,86.7738936810355,72.51,2.1,908000.0,472637.0,7.0818897239199,1.56682622432709,60.4663559578401,33507.6569145576
Malta,2006,18479.213008171,93.7986874969541,40.41,0.2,1521000.0,405308.0,12.3688745604833,1.0186265707016,,11365.4508608412,18479.213008171,93.7986874969541,40.41,0.2,1521000.0,405308.0,12.3688745604833,1.0186265707016,23.0599994659424,11365.4508608412
Montenegro,2006,5386.53833750521,63.111308588912,28.9,44.8,378000.0,615025.0,8.59598085382275,0.161155357956886,,4511.96481304165,5386.53833750521,63.111308588912,28.9,44.8,378000.0,615025.0,8.59598085382275,0.161155357956886,72.5599975585938,4511.96481304165
Netherlands,2006,43841.1223404104,84.6532280358545,83.7,3.1,10739000.0,16346101.0,11.2448165271924,1.78492248058319,64.708899175946,20839.1323009512,43841.1223404104,84.6532280358545,83.7,3.1,10739000.0,16346101.0,11.2448165271924,1.78492248058319,64.708899175946,20839.1323009512
North Macedonia,2006,3866.74650622977,57.8796574341199,28.62,19.8,202000.0,1994287.0,10.2159240234142,-0.130026549100876,51.8113922949686,2949.19919275254,3866.74650622977,57.8796574341199,28.62,19.8,202000.0,1994287.0,10.2159240234142,-0.130026549100876,51.8113922949686,2949.19919275254
Norway,2006,74729.7365961068,78.0877227783203,82.55,57.0,4070000.0,4660677.0,8.35351802419107,1.87561547756195,73.25,28378.2856770262,74729.7365961068,78.0877227783203,82.55,57.0,4070000.0,4660677.0,8.35351802419107,1.87561547756195,73.25,28378.2856770262
Poland,2006,9137.65850849801,61.4199688499096,44.58,7.2,65115000.0,38141267.0,16.532432747176,0.332138866186142,77.4255277991736,5580.93992813092,9137.65850849801,61.4199688499096,44.58,7.2,65115000.0,38141267.0,16.532432747176,0.332138866186142,77.4255277991736,5580.93992813092
Portugal,2006,19529.3122100477,59.0340947058419,38.01,22.3,11282000.0,10522288.0,12.3431980695303,0.867630779743195,22.4099998474121,12678.605834544,19529.3122100477,59.0340947058419,38.01,22.3,11282000.0,10522288.0,12.3431980695303,0.867630779743195,22.4099998474121,12678.605834544
Romania,2006,6876.77841417966,53.2566380678272,24.66,17.4,6037000.0,21193760.0,21.1053948126196,-0.189176306128502,63.5713662897754,4195.6733530934,6876.77841417966,53.2566380678272,24.66,17.4,6037000.0,21193760.0,21.1053948126196,-0.189176306128502,63.5713662897754,4195.6733530934
Serbia,2006,5016.41289322251,58.1709152910668,27.2,15.3,469000.0,7411569.0,20.7442739137822,-0.238502889871597,,3796.00329043637,5016.41289322251,58.1709152910668,27.2,15.3,469000.0,7411569.0,20.7442739137822,-0.238502889871597,62.5499992370605,3796.00329043637
Slovakia,2006,12430.2015488557,55.2464278407442,56.08,6.6,,5373054.0,20.2270685615696,0.828100264072418,,7520.94039559761,12430.2015488557,55.2464278407442,56.08,6.6,12583000.0,5373054.0,20.2270685615696,0.828100264072418,81.510523517521,7520.94039559761
Slovenia,2006,20166.5323431214,50.5672552816963,54.01,17.4,1617000.0,2006868.0,20.4730009548022,0.954627931118011,75.0299987792969,10461.5935228924,20166.5323431214,50.5672552816963,54.01,17.4,1617000.0,2006868.0,20.4730009548022,0.954627931118011,75.0299987792969,10461.5935228924
Spain,2006,26899.0921497113,77.4968648783202,50.37,8.5,96152000.0,44397319.0,13.0718544522456,0.830167770385742,41.439998626709,16536.0391158628,26899.0921497113,77.4968648783202,50.37,8.5,96152000.0,44397319.0,13.0718544522456,0.830167770385742,41.439998626709,16536.0391158628
Sweden,2006,48078.3520110084,84.4553200620359,87.76,40.1,4729000.0,9080505.0,16.8396846318154,1.80057287216187,79.7399978637695,20841.3567458382,48078.3520110084,84.4553200620359,87.76,40.1,4729000.0,9080505.0,16.8396846318154,1.80057287216187,79.7399978637695,20841.3567458382
Switzerland,2006,78893.8078199046,73.5115823179813,75.7,18.1,7863000.0,7483934.0,19.0771207330575,2.07526707649231,83.1207526506269,41686.2573769553,78893.8078199046,73.5115823179813,75.7,18.1,7863000.0,7483934.0,19.0771207330575,2.07526707649231,83.1207526506269,41686.2573769553
Türkiye,2006,8078.5153787571,64.2873893939536,18.24,14.2,19820000.0,70045349.0,17.128017347193,0.10542806237936,23.2000007629394,4774.80883841835,8078.5153787571,64.2873893939536,18.24,14.2,19820000.0,70045349.0,17.128017347193,0.10542806237936,23.2000007629394,4774.80883841835
Albania,2007,3105.8796756386,48.2022815728384,15.0361,32.0,1127000.0,2970017.0,5.73178157063886,-0.427722543478012,39.913692520629,2438.4819081169,3105.8796756386,48.2022815728384,15.0361,32.0,1127000.0,2970017.0,5.73178157063886,-0.427722543478012,39.913692520629,2438.4819081169
Austria,2007,43568.8302243941,67.0211044863084,69.37,29.0,20773000.0,8295487.0,18.5487211186086,1.86356592178345,73.5899963378906,22995.3691352011,43568.8302243941,67.0211044863084,69.37,29.0,20773000.0,8295487.0,18.5487211186086,1.86356592178345,73.5899963378906,22995.3691352011
